Products,huawei_eng_name,huawei_chn_name,eng_description,chn_description
,Optical Character Recognition,文字识别 OCR,"OCR provides services through open Application Programming Interfaces (APIs). You can obtain the inference result by accessing and invoking APIs in real time. 

","文字识别（Optical Character Recognition，简称OCR）以开放API的方式提供给用户，用户使用Python、Java等编程语言调用OCR服务API将图片识别成文字，帮助用户自动采集关键数据，打造智能化业务系统，提升业务效率。

"
,Data Lake Factory,数据湖工厂 DLF,"Data Lake Factory (DLF) is a one-stop big data development platform to help you quickly build big data processing centers.

","数据湖工厂（Data Lake Factory）提供一站式的大数据协同开发平台，帮助用户快速构建大数据处理中心。

"
,ModelArts,AI开发平台ModelArts,"ModelArts is a one-stop development platform for AI developers. With data preprocessing, semi-automated data labeling, distributed training, and automated model building, ModelArts helps developers build models and manage the AI development lifecycle.

","ModelArts是面向开发者的一站式AI开发平台，为机器学习与深度学习提供海量数据预处理及半自动化标注、大规模分布式Training、自动化模型生成，及端-边-云模型按需部署能力，帮助用户快速创建和部署模型，管理全周期AI工作流。

"
,ImageSearch,图像搜索 ImageSearch,"ImageSearch leverages deep learning and image recognition technologies to deliver service- and industry-specific feature vectorization and search capabilities to help your search of exact/fuzzy match images from the specified gallery.

","图像搜索（ImageSearch）基于深度学习与图像识别技术，结合不同应用业务和行业场景，利用特征向量化与搜索能力，帮助客户从指定图库中搜索相同或相似的图片。

"
,Video Ingestion Service,视频接入服务 VIS,"Video Ingestion Service (VIS) ingests massive volumes of video data in real time. With its impressive data collection, quick real-time transmission, and powerful data dumping capabilities, you can easily build intelligent analysis applications through integration with HUAWEI CLOUD VAS.

","视频接入服务（Video Ingestion Service，简称VIS）是华为云提供的实时视频数据接入服务，提供了摄像头视频数据采集、实时数据分发和视频数据转储等能力。借助视频接入服务，您可以与华为云视频分析服务集成，快速构建基于实时视频数据的智能分析应用。

"
,Conversational Bot Service,对话机器人服务 CBS,"Conversational Bot Service (CBS) helps you quickly build, publish, and manage intelligent Q&A bots.

","对话机器人服务（Conversational Bot Service）帮助企业快速构建，发布和管理智能问答机器人系统。

"
,Speech Interaction Service,语音交互服务 SIS,"语音交互服务（Speech Interaction Service，简称SIS）是一种人机交互方式，以开放API（Application Programming Interface，应用程序编程接口）的方式提供给用户，用户通过实时访问和调用API获取语音交互结果。

","语音交互服务（Speech Interaction Service，简称SIS）是一种人机交互方式，以开放API（Application Programming Interface，应用程序编程接口）的方式提供给用户，用户通过实时访问和调用API获取语音交互结果。

"
,Huawei HiLens,华为HiLens,"Huawei HiLens is a one-stop platform for the development, distribution, deployment, and management of AI applications. It provides extensive device-cloud synergy capabilities such as large-scale device management, dynamic application deployment, online training, and device model optimization.

","华为HiLens为端云协同多模态AI开发应用平台，提供简单易用的开发框架、开箱即用的开发环境、丰富的AI技能市场和云上管理平台，对接多种端侧计算设备，支持视觉及听觉AI应用开发、AI在线部署、海量设备管理等。

"
,Data Lake Visualization,数据可视化 DLV,"Data Lake Visualization (DLV) is a one-stop data visualization platform that adapts to various data sources in the cloud or on-premises. By dragging and dropping 2D and 3D visual components on DLV, you can quickly customize and create a data screen of your own.

","数据可视化（Data Lake Visualization）是一站式数据可视化开发平台，适配云上云下多种数据源，提供丰富多样的2D、3D可视化组件，采用拖拽式自由布局，旨在帮助您快速定制和应用属于您自己的数据大屏。

"
,Natural Language Processing,自然语言处理 NLP,"Natural Language Processing (NLP) is a cloud service pertained to various enterprises and developers for text analysis and mining. It aims to help users efficiently process text.

","自然语言处理（Natural Language Processing，简称NLP）是一款基于人工智能技术，针对各类企业及开发者提供的用于文本分析及挖掘的云服务，旨在帮助用户高效的处理文本。

"
,,,,
Cloud Communications,Message & SMS,消息&短信,Message service,信息服务
,,,,
Video,Media Processing Center,媒体处理 MPC,"Media Processing Center (MPC) is designed to convert media files into the formats required by playback devices like PCs, TVs, and mobile phones, in a cost-effective, efficient, and highly scalable manner.

","媒体处理（Media Processing Center）为海量多媒体数据提供经济、高效、弹性的转码和音视频处理服务，支持丰富的转码格式，适合在PC、TV以及移动终端上播放，匹配多种商业场景。

"
,,,,
Cloud Ecosystem,Partner Center,合作伙伴中心,"The Partner Center provides business support for partners, including certification, settlement, as well as program, agreement, and invoice management.

","合作伙伴中心（Partner Center）针对不同类型的伙伴提供业务流程支撑，包括伙伴认证、计划管理、协议管理、发票管理与对账结算等。

"
,,,,
,Dedicated Computing Cluster,专属计算集群 DCC,"Dedicated Computing Cluster (DCC) provides dedicated, physically isolated computing resource pools on HUAWEI CLOUD to ensure secure service operation. DCCs are applicable to scenarios with high security requirements, such as financial systems, data warehouses, and high-performance computing.

","专属计算集群（Dedicated Computing Cluster）为用户提供物理隔离的云上专属计算资源池。适用于金融安全、数据仓库、基因测序、生物制药等对资源独享，性能要求高的场景。用户可申请独占物理设备，独享计算，从而保证业务稳定运行。

"
Dedicated Cloud,Dedicated Distributed Storage Service,专属分布式存储服务 DSS,"Dedicated Distributed Storage Service (DSS) provides dedicated, physical storage with high availability, durability, and low latency. It can be interconnected with compute services and used in HPC, OLAP, and mixed load scenarios.

","专属分布式存储服务（Dedicated Distributed Storage Service，DSS）可提供独享的物理存储资源，提供高可用性和持久性，以及稳定的低时延性能；可对接ECS、BMS以及DCC等多种类型的计算服务，适用于HPC、OLAP以及混合负载等应用场景。

"
Enterprise Applications,ROMA Connect,应用与数据集成平台 ROMA Connect,"ROMA Connect is a full-stack application & data integration platform. It provides data, API, message, and device integration to allow interconnection between cloud and on-premises applications, helping enterprises achieve digital transformation.

","应用与数据集成平台（ROMA Connect）是一个全栈式的服务平台，聚焦应用和数据连接，提供数据、API、消息和设备集成能力，帮助企业快速联接云上云下，消除数字鸿沟，实现数字化转型。

"
,,,,
IoT,IoT Device Management,设备管理,"The IoT platform provides access to a wide range of sensors, devices, and gateways. It is designed for industry customers and device manufacturers. It integrates a variety of network applications (NAs) through open application programming interfaces (APIs).

","利用华为云物联网平台 ，您可以对设备进行高效、可视化的管理，对数据进行整合分析，并通过调用平台面向行业强大的开放能力，快速构建创新的物联网业务

"
,Intelligent EdgeFabric,智能边缘平台 IEF,"Intelligent EdgeFabric meets customers' requirements for remote control, data processing, analysis and decision-making, and intelligence of edge computing resources, providing users with integrated services for complete edge and cloud collaboration.
","智能边缘平台（Intelligent EdgeFabric ）满足客户对边缘计算资源的远程管控、数据处理、分析决策、智能化的诉求， 为用户提供完整的边缘和云协同的一体化服务

"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
User Support,Service Tickets,工单管理,,
,HUAWEI CLOUD (International) FAQs,国际站常见问题,,
,ICP License Service,备案中心,,
,Enterprise Management,企业管理,,
,Billing Center,费用中心,,
,My Account,账号中心,,
,Resource Center,资源中心,,
,Support Plans,支持计划,,
,Customer Operation Capabilities,客户运营能力,,
,Partner Support Plans,合作伙伴支持计划,,
,Professional Services,专业服务,,
,,,,
,,,,
,,,,
Other,Product Pricing Details,产品价格详情,,
,System Permissions,系统权限,,
,Console Quick Start,管理控制台快速入门,,
,Common FAQs,公共问题,,
,Instructions for Associating with a HUAWEI CLOUD Partner,客户关联华为云合作伙伴须知,,
,My Credentials,我的凭证,,
Developer Tools,SDK Developer Guide,SDK开发指南,,
,API Request Signing Guide,API签名指南,,
,Terraform,Terraform,,
,,,,
Price,Pricing Principles,价格原则,,
